id,Price,DepartureCountry,DestinationCountry,DepartureDate,DepartureAirport,ArrivalAirport,FlightClass
1,85,Italy,France,10/1/2025,MTC,GDD,2
2,34,Mexico,USA,7/24/2025,GMU,TVI,3
3,27,China,Singapore,5/16/2025,SYW,CAG,2
4,93,Colombia,USA,6/3/2025,BMY,LDO,2
5,58,UK,Netherlands,10/17/2025,SBU,LSO,1
6,52,USA,USA,9/5/2025,PSU,TCM,3
7,7,France,Germany,10/21/2025,PRR,MAB,2
8,82,Australia,Australia,6/29/2025,YMJ,ABE,1
9,47,Italy,Spain,8/15/2025,LIQ,LTS,3
10,19,Japan,South Korea,11/21/2025,YBP,QPS,2
11,43,Italy,France,7/7/2025,ICC,RHL,1
12,59,South Korea,USA,10/26/2025,ULZ,CPH,3
13,67,UK,France,10/30/2025,TGH,LVD,2
14,30,Brazil,Argentina,8/10/2025,AEL,TLU,3
15,71,Singapore,China,9/5/2025,FYT,WMP,1
16,26,USA,USA,5/20/2025,PUA,MMC,2
17,65,Mexico,USA,5/15/2025,UTD,LZM,2
18,42,Colombia,USA,10/17/2025,CUT,NTQ,3
19,56,South Africa,France,9/21/2025,KEE,AST,1
20,68,India,India,9/23/2025,FRA,SNF,3
21,44,Qatar,USA,11/23/2025,NVN,KQA,1
22,60,Germany,Spain,11/13/2025,WGB,KDM,3
23,78,Spain,France,9/20/2025,VQQ,PSH,3
24,74,Spain,France,6/17/2025,JNI,WHD,3
25,41,Germany,France,10/30/2025,RAA,BJE,3
26,35,USA,USA,8/16/2025,HPT,YMU,2
27,31,Italy,USA,10/7/2025,TNG,ARD,2
28,34,Denmark,Argentina,7/12/2025,FOK,HOC,1
29,56,Italy,Sweden,11/23/2025,NZC,TLU,3
30,10,China,Singapore,6/18/2025,BOR,OAS,2
31,24,France,Germany,11/23/2025,SSB,DWN,1
32,56,USA,USA,6/9/2025,LOW,MXP,1
33,38,Canada,USA,7/6/2025,NSK,BCV,3
34,65,Australia,Kenya,8/8/2025,CYU,RKS,1
35,27,Canada,USA,8/11/2025,MSD,SWH,1
36,86,USA,USA,9/16/2025,PKU,RJK,2
37,1,Spain,France,8/24/2025,CAW,MLL,1
38,74,USA,USA,7/24/2025,HUX,FOT,2
39,21,South Korea,India,7/9/2025,BQQ,CLE,1
40,32,France,Italy,10/11/2025,FNR,PHD,3
41,45,Brazil,Argentina,10/11/2025,VJB,YXL,2
42,60,New Zealand,Australia,6/12/2025,OAK,GLN,1
43,36,India,India,10/2/2025,CUH,RWN,1
44,63,Singapore,Brazil,5/23/2025,BRY,MGG,3
45,69,Australia,New Zealand,5/6/2025,HRM,ZJG,2
46,78,India,India,9/13/2025,EBJ,GVT,2
47,26,South Africa,France,9/5/2025,AGX,SFH,2
48,18,China,South Korea,7/12/2025,ILM,GRT,3
49,25,Spain,France,11/1/2025,MNL,ODC,1
50,27,Denmark,Australia,11/20/2025,EDI,WUZ,3
